cancer	patient	drug	response
lung	IST.SL2	Cisplatin	3.406628
urogenital_system	J82	Cisplatin	1.691888
lung	KNS.62	Cisplatin	2.641739
aero_digestive_tract	KOSC.2	Cisplatin	1.066489
pancreas	KP.4	Cisplatin	2.463837
aero_digestive_tract	KYSE.140	Cisplatin	0.990912
aero_digestive_tract	KYSE.410	Cisplatin	3.556899
aero_digestive_tract	KYSE.520	Cisplatin	3.081463
aero_digestive_tract	KYSE.70	Cisplatin	3.885415
kidney	LB1047.RCC	Cisplatin	1.773616
kidney	LB2241.RCC	Cisplatin	2.428654
skin	LB2518.MEL	Cisplatin	6.280205
skin	LB373.MEL.D	Cisplatin	4.48501
aero_digestive_tract	LB771.HNC	Cisplatin	4.497595
urogenital_system	LB831.BLC	Cisplatin	5.41682
lung	LCLC.103H	Cisplatin	4.719679
lung	LU.134.A	Cisplatin	4.750185
lung	LU.165	Cisplatin	6.487142
lung	LXF.289	Cisplatin	3.161664
lung	MS.1	Cisplatin	6.547701
pancreas	MZ1.PC	Cisplatin	3.398585
skin	MZ7.mel	Cisplatin	6.152805
lung	NCI.H1304	Cisplatin	4.795082
lung	NCI.H1563	Cisplatin	4.98031
lung	NCI.H292	Cisplatin	5.89784
lung	NCI.H510A	Cisplatin	3.250877
lung	PC.14	Cisplatin	1.744455
blood	SK.MM.2	Cisplatin	5.976815
aero_digestive_tract	TE.15	Cisplatin	3.991877
blood	U.266	Cisplatin	5.033941
nervous_system	SIMA	Cisplatin	2.315263
aero_digestive_tract	TE.1	Cisplatin	3.650941
aero_digestive_tract	TE.10	Cisplatin	5.059864
aero_digestive_tract	TE.8	Cisplatin	2.805138
pancreas	CAPAN.1	Cisplatin	1.763765
urogenital_system	OVCAR.3	Cisplatin	2.968321
urogenital_system	PC.3	Cisplatin	3.905181
urogenital_system	DU.145	Cisplatin	2.408486
digestive_system	HCT.116	Cisplatin	4.774178
digestive_system	HCT.15	Cisplatin	5.058187
blood	HL.60	Cisplatin	2.388306
digestive_system	HT.29	Cisplatin	4.570014
blood	K.562	Cisplatin	4.193559
lung	NCI.H226	Cisplatin	3.725984
lung	NCI.H23	Cisplatin	1.527082
lung	NCI.H460	Cisplatin	2.12435
breast	T47D	Cisplatin	5.470363
breast	MCF7	Cisplatin	4.036734
kidney	X786.0	Cisplatin	1.496287
kidney	A498	Cisplatin	2.974722
lung	A549	Cisplatin	3.631747
kidney	ACHN	Cisplatin	2.085441
breast	BT.549	Cisplatin	4.791074
blood	CCRF.CEM	Cisplatin	1.759891
