patient	cancer	response	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5
KOSC.2	aero_digestive_tract	1.066489	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
KYSE.140	aero_digestive_tract	0.990912	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
KYSE.410	aero_digestive_tract	3.556899	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
KYSE.520	aero_digestive_tract	3.081463	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
KYSE.70	aero_digestive_tract	3.885415	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
LB771.HNC	aero_digestive_tract	4.497595	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
TE.15	aero_digestive_tract	3.991877	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
TE.1	aero_digestive_tract	3.650941	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
TE.10	aero_digestive_tract	5.059864	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
TE.8	aero_digestive_tract	2.805138	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
SCC.25	aero_digestive_tract	4.167463	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
SCC.4	aero_digestive_tract	3.434336	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
